DatGeracaoConjuntoDados;AnoReferencia;MesReferencia;NomUF;SigUF;MdaPotenciaInstaladakW
2026-07-01;2014;6 ;MATO GROSSO DO SUL;MS;8782687,00
2026-07-01;2014;6 ;MATO GROSSO;MT;2810309,00
2026-07-01;2014;6 ;PARA;PA;9059889,00
2026-07-01;2014;6 ;PARAIBA;PB;641470,00
2026-07-01;2014;6 ;PERNAMBUCO;PE;3400598,00
2026-07-01;2014;6 ;PIAUI;PI;318115,00
2026-07-01;2014;6 ;PARANA;PR;18234011,00
2026-07-01;2014;6 ;RIO DE JANEIRO;RJ;9058745,00
2026-07-01;2014;6 ;RIO GRANDE DO NORTE;RN;1415467,00
2026-07-01;2014;6 ;RONDONIA;RO;3409201,00
2026-07-01;2014;6 ;RORAIMA;RR;122610,00
2026-07-01;2014;6 ;RIO GRANDE DO SUL;RS;9199390,00
2026-07-01;2014;6 ;SANTA CATARINA;SC;7469074,00
2026-07-01;2014;6 ;SERGIPE;SE;3284279,00
2026-07-01;2014;6 ;SÃO PAULO;SP;25337669,00
2026-07-01;2014;6 ;TOCANTINS;TO;2988093,00
2026-07-01;2014;9 ;ACRE;AC;190896,00
2026-07-01;2014;9 ;ALAGOAS;AL;707376,00
2026-07-01;2014;9 ;AMAZONAS;AM;2262845,00
2026-07-01;2014;9 ;AMAPA;AP;425879,00
2026-07-01;2014;9 ;BAHIA;BA;8306071,00
2026-07-01;2014;9 ;CEARA;CE;3065780,00
2026-07-01;2014;9 ;DISTRITO FEDERAL;DF;47377,00
2026-07-01;2014;9 ;ESPIRITO SANTO;ES;1525929,00
2026-07-01;2014;9 ;GOIAS;GO;7240800,00
2026-07-01;2014;9 ;MARANHAO;MA;3052769,00
2026-07-01;2014;9 ;MINAS GERAIS;MG;15472693,00
2026-07-01;2014;9 ;MATO GROSSO DO SUL;MS;2090407,00
2026-07-01;2014;9 ;MATO GROSSO;MT;2807718,00
2026-07-01;2014;9 ;PARA;PA;9074721,00
2026-07-01;2014;9 ;PARAIBA;PB;641470,00
2026-07-01;2014;9 ;PERNAMBUCO;PE;3400960,00
2026-07-01;2014;9 ;PIAUI;PI;388115,00
2026-07-01;2014;9 ;PARANA;PR;16114439,00
2026-07-01;2014;9 ;RIO DE JANEIRO;RJ;8642984,00
